class,survived
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,yes
1st,no
1st,no
1st,no
1st,no
