group,value
A,107.450712
A,97.926035
A,109.715328
A,122.845448
A,96.487699
A,96.487946
A,123.688192
A,111.511521
A,92.957884
A,108.138401
A,93.048735
A,93.014054
A,103.629434
A,71.300796
A,74.126233
A,91.565687
A,84.807533
A,104.713710
A,86.379639
A,78.815444
A,121.984732
A,96.613355
A,101.012923
A,78.628777
A,91.834259
A,101.663839
A,82.735096
A,105.635470
A,90.990420
A,95.624594
A,90.974401
A,127.784173
A,99.797542
A,84.134336
A,112.338174
A,81.687345
A,103.132954
A,70.604948
A,80.077209
A,102.952919
A,111.076999
A,102.570524
A,98.265276
A,95.483445
A,77.822170
A,89.202337
A,93.090418
A,115.856833
A,105.154274
A,73.554398
B,112.861260
B,102.223766
B,97.846170
B,117.175144
B,123.464993
B,121.969202
B,95.411737
B,103.361814
B,112.968951
B,122.633177
B,100.812386
B,105.215115
B,91.404975
B,90.056901
B,120.187887
B,128.343600
B,106.919848
B,123.052993
B,113.424540
B,98.323204
B,113.420934
B,131.070548
B,107.462609
B,131.469655
B,68.703823
B,120.328538
B,109.305706
B,103.514890
B,109.376412
B,78.186466
B,104.704922
B,113.356689
B,130.168411
B,100.225947
B,95.872596
B,100.473644
B,121.731032
B,112.931267
B,100.053597
B,115.699011
B,109.456163
B,122.529675
B,97.469204
B,103.085068
B,102.118378
B,86.047276
B,112.441804
B,111.915829
B,108.076702
B,104.481193
